id,prix,surface,pieces,ville,prix_log,surface_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN,cluster
1165,57610,40.0,2.0,259930.18381669457,10.961468800673332,3.713572066704308,True,False,False,False,False,5
1167,340000,129.0,7.0,291914.97198098426,12.73670383776449,4.867534450455582,False,False,True,False,False,2
1168,498000,163.0,5.0,296258.9338166946,13.118357364036902,5.099866427824199,False,False,True,False,False,7
1169,79000,111.0,4.0,279486.40055241284,11.277215789596893,4.718498871295094,False,False,True,False,False,4
1170,137000,108.0,5.0,281327.92780003045,11.827743504053695,4.6913478822291435,False,False,True,False,False,7
1171,76000,1037.0,4.686456400742115,279343.5434095557,11.23850177707664,6.945051063725834,False,False,False,False,True,6
1172,505000,97.0,4.0,299772.11483812716,13.132315688453556,4.584967478670572,True,False,False,False,False,0
1173,499000,127.0,5.0,305123.382345485,13.120363378739663,4.852030263919617,False,False,True,False,False,7
1174,189000,49.0,2.0,292052.80050437694,12.149507585033072,3.912023005428146,True,False,False,False,False,5
1175,126000,44.0,2.0,325882.0320818334,11.744045122410057,3.8066624897703196,True,False,False,False,False,5
1176,472000,103.0,4.0,298200.6862666986,13.064736383209516,4.6443908991413725,False,False,True,False,False,4
1177,249000,118.0,6.0,287581.63864765095,12.425212191503038,4.77912349311153,False,False,True,False,False,7
1178,225991,82.0,4.0,286485.97198098426,12.328254879397802,4.418840607796598,False,False,True,False,False,4
1179,70000,432.0,4.686456400742115,279057.8291238414,11.156264806643742,6.07073772800249,False,False,False,False,True,6
1180,225600,100.0,4.686456400742115,281218.83689093956,12.32652323122033,4.61512051684126,False,False,True,False,False,7
1181,1150000,165.0,5.0,325882.0320818334,13.955273369904273,5.111987788356544,True,False,False,False,False,7
1182,159500,60.0,4.0,283319.73388574616,11.979805470779858,4.110873864173311,False,False,True,False,False,4
1183,745000,140.0,6.0,311200.6862666986,13.521140839642674,4.948759890378168,False,False,True,False,False,7
1184,1199000,105.0,4.0,411694.6446055649,13.99699926803766,4.663439094112067,True,False,False,False,False,0
1185,569000,132.0,5.0,312734.9879918504,13.251637470576167,4.890349128221754,False,False,True,False,False,7
1186,215000,170.0,4.686456400742115,285962.5910286033,12.278397958261774,5.14166355650266,False,False,True,False,False,7
1187,215000,130.0,6.0,285962.5910286033,12.278397958261774,4.875197323201151,False,False,True,False,False,7
1188,459000,199.0,6.0,297581.63864765095,13.036807667689546,5.298317366548036,False,False,True,False,False,7
1189,218400,123.0,6.0,286124.4957905081,12.294088101596984,4.820281565605037,False,False,True,False,False,7
1190,650000,117.0,5.0,306676.87674288906,13.384729180332174,4.770684624465665,False,False,True,False,False,7
1191,430000,49.0,3.0,337050.6004833612,12.971542813248437,3.912023005428146,True,False,False,False,False,0
1192,400000,80.0,4.0,329579.08612859534,12.899222326086994,4.394449154672439,True,False,False,False,False,0
1193,340600,234.0,8.0,291943.5434095557,12.738466983201718,5.459585514144159,False,False,True,False,False,2
1194,150000,126.0,6.0,282867.3529333652,11.918397239722838,4.844187086458591,False,False,True,False,False,7
1195,103000,66.0,3.0,270418.9764640268,11.542493975902508,4.204692619390966,True,False,False,False,False,0
1196,223500,92.0,5.0,286367.3529333652,12.317171167298682,4.532599493153256,False,False,True,False,False,7
1197,460000,130.0,7.0,297629.25769527,13.038983942375959,4.875197323201151,False,False,True,False,False,2
1198,355000,103.0,4.0,288100.65507275774,12.779875885354993,4.6443908991413725,False,False,True,False,False,4
1199,305305,140.0,6.0,274717.4754833612,12.62906983133038,4.948759890378168,False,False,True,False,False,7
1200,296000,108.0,4.0,289819.73388574616,12.598118111678868,4.6913478822291435,False,False,True,False,False,4
1201,255000,120.0,5.0,296258.9338166946,12.449022745701502,4.795790545596741,True,False,False,False,False,7
1202,649000,126.0,5.0,344091.93093915953,13.38318953651709,4.844187086458591,False,False,True,False,False,7
1203,450000,170.0,7.0,297153.06721907953,13.017005083966255,5.14166355650266,False,False,True,False,False,2
1204,420000,160.0,7.0,309100.65507275774,12.948012371209098,5.081404364984463,False,False,True,False,False,2
1205,229000,180.0,4.686456400742115,270193.12635558035,12.34148164933907,5.198497031265826,False,True,False,False,False,7
1206,90000,90.0,4.0,276896.1096182123,11.407576060361786,4.51085950651685,False,False,True,False,False,4
1207,380000,145.0,5.0,284570.1918087248,12.847929163278053,4.983606621708336,False,False,True,False,False,7
1208,48400,380.0,4.686456400742115,278029.25769527,10.78727575364831,5.942799375126701,False,False,False,False,True,6
1209,415000,64.0,4.0,341408.5764640268,12.936036208848487,4.174387269895637,True,False,False,False,False,0
1210,449000,150.0,7.0,276398.0588166946,13.014780393893403,5.017279836814924,False,False,True,False,False,2
1211,178500,80.0,4.0,284224.4957905081,12.092349482427034,4.394449154672439,False,False,True,False,False,4
1212,94000,440.0,4.686456400742115,281714.2914363941,11.451060699493427,6.089044875446846,False,False,False,False,True,6
1213,375000,78.0,3.0,304325.4640500093,12.834683971615659,4.3694478524670215,True,False,False,False,False,0
1214,399000,86.0,4.0,294724.4957905081,12.896719202134523,4.465908118654584,True,False,False,False,False,0
1215,75000,90.0,4.686456400742115,279295.92436193663,11.225256725762893,4.51085950651685,False,False,True,False,False,7
1216,138900,61.0,4.0,282338.7815047938,11.841516728140565,4.127134385045092,False,False,True,False,False,4
1217,1249000,155.0,10.0,372791.93093915953,14.037854589747907,5.049856007249537,False,False,True,False,False,1
1218,472880,105.0,5.0,330659.8356353138,13.06659905019742,4.663439094112067,False,False,True,False,False,7
1219,128000,163.0,6.0,272141.5641636668,11.759793355371237,5.099866427824199,False,False,True,False,False,7
1220,749700,229.0,8.0,311424.4957905081,13.527429739357144,5.438079308923196,False,False,True,False,False,2
1221,127783,60.0,4.0,281809.40055241284,11.758096617469793,4.110873864173311,False,False,True,False,False,4
1222,140282,88.0,6.0,282404.5910286033,11.85141708982527,4.48863636973214,False,False,True,False,False,7
1223,141000,98.0,4.0,282438.7815047938,11.856522261533737,4.59511985013459,False,False,True,False,False,4
1224,165000,61.0,4.0,283581.63864765095,12.013706813470414,4.127134385045092,False,False,True,False,False,4
1225,572000,141.0,6.0,330659.8356353138,13.256896018612155,4.955827057601261,False,False,True,False,False,7
1226,130540,25.0,2.0,330659.8356353138,11.779442632647074,3.258096538021482,True,False,False,False,False,5
1227,559000,108.0,5.0,330659.8356353138,13.233906541044401,4.6913478822291435,False,False,True,False,False,7
1228,698000,121.0,4.0,330659.8356353138,13.455975814408239,4.804021044733257,False,False,True,False,False,4
1229,235000,93.0,4.0,284737.01870912133,12.367345048436391,4.543294782270004,True,False,False,False,False,0
1230,441000,144.0,5.0,296724.4957905081,12.996802422000108,4.976733742420574,False,False,True,False,False,7
1231,119000,25.0,2.0,325882.0320818334,11.686887175419702,3.258096538021482,True,False,False,False,False,5
1232,272000,112.0,5.0,276772.9764640268,12.513561021741964,4.727387818712341,False,False,True,False,False,7
1233,119000,171.0,4.0,281391.16245717474,11.686887175419702,5.147494476813453,False,False,True,False,False,4
1234,492560,415.0,11.0,299179.73388574616,13.107373589792548,6.030685260261263,False,False,True,False,False,1
1235,183400,69.0,3.0,284457.8291238414,12.11943029135234,4.248495242049359,False,False,True,False,False,4
1236,179000,85.0,4.0,284248.30531431764,12.095146671399466,4.454347296253507,False,False,True,False,False,4
1237,158000,54.0,3.0,283248.30531431764,11.970356641102999,4.007333185232471,True,False,False,False,False,0
1238,599000,220.0,7.0,294487.01870912133,13.303018546545275,5.3981627015177525,False,False,True,False,False,2
1239,202250,187.0,8.0,285355.4481714605,12.217264779284287,5.236441962829949,False,False,True,False,False,2
1240,314000,100.0,5.0,293046.4338166946,12.657151449598695,4.61512051684126,False,False,True,False,False,7
1261,298000,90.0,4.0,299009.7459818486,12.604852121186608,4.51085950651685,False,False,True,False,False,4
1262,50000,16.0,4.686456400742115,278105.4481714605,10.819798284210286,2.833213344056216,False,False,False,False,True,0
1263,279000,158.0,7.0,289010.21007622237,12.53897064502647,5.0689042022202315,False,False,True,False,False,2
1264,112500,112.0,7.0,277850.65507275774,11.630717389475995,4.727387818712341,False,False,True,False,False,2
