id,prix,surface,pieces,ville,prix_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN
310,95000,83.0,4.0,280248.30531431764,11.461642696843066,False,False,True,False,False
311,224000,90.0,5.0,286391.16245717474,12.319405795112926,False,False,True,False,False
312,55000,600.0,4.686456400742115,278343.5434095557,10.915106645867503,False,False,False,False,True
313,332800,148.0,5.0,291572.11483812716,12.715299992732369,False,False,True,False,False
314,199000,115.0,5.0,285200.6862666986,12.201065128819632,False,False,True,False,False
315,59000,879.0,4.686456400742115,284574.53963481175,10.985309671896763,False,False,False,False,True
316,263000,116.0,5.0,288248.30531431764,12.479913113434042,False,False,True,False,False
317,450000,93.0,5.0,308400.6265913335,13.017005083966255,False,False,True,False,False
318,582000,69.0,3.0,341408.5764640268,13.274227444925158,True,False,False,False,False
319,272480,128.0,5.0,287844.2914363941,12.515324165883909,False,False,True,False,False
320,399000,87.0,3.0,296652.47736925655,12.896719202134523,True,False,False,False,False
355,241000,82.0,4.0,287200.6862666986,12.392556361841777,True,False,False,False,False
356,420000,175.0,5.0,286052.80050437694,12.948012371209098,False,False,True,False,False
357,210000,54.0,3.0,285724.4957905081,12.25486757159303,False,False,True,False,False
358,199700,115.0,4.0,285234.0196000319,12.204576526902637,False,False,True,False,False
359,240000,41.0,2.0,360608.98318859056,12.388398368982115,True,False,False,False,False
360,304950,247.0,14.0,284052.92780003045,12.627906386945329,False,False,True,False,False
362,503000,148.0,5.0,298487.5831130726,13.12834743715147,False,False,True,False,False
363,244600,128.0,6.0,287372.11483812716,12.407383590534293,False,False,True,False,False
364,154000,67.0,3.0,283057.8291238414,11.944714374881176,False,False,True,False,False
365,64600,360.0,4.686456400742115,278800.6862666986,11.075985169527042,False,False,False,False,True
366,241500,149.0,9.0,287224.4957905081,12.394628892852941,False,False,True,False,False
367,378000,82.0,4.0,304325.4640500093,12.84265212010087,True,False,False,False,False
368,163900,3700.0,4.686456400742115,283529.25769527,12.007017865994577,False,False,False,False,True
369,210000,135.0,4.686456400742115,278335.4092000291,12.25486757159303,False,True,False,False,False
370,899000,185.0,5.0,318534.0196000319,13.70903942580019,False,False,True,False,False
371,719000,250.0,5.0,309962.5910286033,13.4856180275228,False,False,True,False,False
372,192400,142.0,8.0,284886.40055241284,12.167337014705433,False,False,True,False,False
373,310000,70.0,3.0,337888.42798623,12.644330802262578,True,False,False,False,False
374,525000,114.0,4.0,308748.45267829,13.171155446333852,True,False,False,False,False
375,469000,225.0,8.0,321052.80050437694,13.058360179622305,True,False,False,False,False
376,210000,140.0,4.686456400742115,287368.5764640268,12.25486757159303,False,True,False,False,False
377,265700,95.0,4.0,288376.87674288906,12.490126895384028,False,False,True,False,False
378,225000,13.0,1.0,411694.6446055649,12.323860125621126,True,False,False,False,False
379,107000,20.0,1.0,288168.5764640268,11.580593459194764,True,False,False,False,False
380,49500,14.0,4.686456400742115,411694.6446055649,10.809748150372926,False,False,False,True,False
381,449000,115.0,4.0,294248.45267829,13.014780393893403,False,False,True,False,False
382,180500,91.0,4.0,284319.73388574616,12.103491596905931,False,False,True,False,False
383,55000,33.0,1.0,304325.4640500093,10.915106645867503,True,False,False,False,False
384,205000,107.0,5.0,285486.40055241284,12.230770136157428,False,False,True,False,False
385,295000,71.0,3.0,289772.11483812716,12.59473402514672,False,False,True,False,False
386,99900,94.0,3.0,280481.63864765095,11.511934974596555,False,False,True,False,False
387,138200,105.0,5.0,274717.4754833612,11.836464426179543,False,False,True,False,False
388,145219,20.0,1.0,304325.4640500093,11.886005112934237,True,False,False,False,False
389,545000,88.0,4.0,297509.7459818486,13.208542908506082,False,False,True,False,False
390,135000,5.0,4.686456400742115,282153.06721907953,11.813037464800539,False,False,False,False,True
391,139000,699.0,4.686456400742115,282343.5434095557,11.842236406331555,False,False,False,False,True
393,320000,67.0,3.0,290962.5910286033,12.676079399771027,True,False,False,False,False
394,148500,410.0,4.686456400742115,286759.7459818486,11.908346971208951,False,False,False,False,True
395,313000,169.0,7.0,290629.25769527,12.653961664405365,False,False,True,False,False
396,160000,100.0,5.0,283343.5434095557,11.982935344196433,False,False,True,False,False
397,179000,172.0,7.0,284248.30531431764,12.095146671399466,False,False,True,False,False
398,219000,127.0,4.0,288146.0641636668,12.296831574998258,False,False,True,False,False
399,148000,57.0,4.0,282772.11483812716,11.904974309480183,True,False,False,False,False
400,625000,206.0,6.0,305486.40055241284,13.345508528717259,False,False,True,False,False
401,189000,177.0,5.0,284724.4957905081,12.149507585033072,False,False,True,False,False
402,136000,65.0,4.0,272661.4961565509,11.820417517632333,False,False,True,False,False
403,350300,115.0,5.0,292405.4481714605,12.766548063877478,False,False,True,False,False
404,279000,120.0,6.0,287139.7570261161,12.53897064502647,False,False,True,False,False
405,263000,120.0,6.0,287139.7570261161,12.479913113434042,False,False,True,False,False
406,272000,120.0,6.0,287139.7570261161,12.513561021741964,False,False,True,False,False
407,90000,659.0,4.686456400742115,280010.21007622237,11.407576060361786,False,False,False,False,True
408,220000,117.0,7.0,282723.382345485,12.301387370778713,False,False,True,False,False
409,385000,190.0,7.0,294057.8291238414,12.861001210669146,False,False,True,False,False
410,800000,127.0,4.686456400742115,317973.382345485,13.592368256649284,False,False,False,False,True
413,189500,72.0,3.0,312738.1004833612,12.15214958053555,True,False,False,False,False
419,315000,155.0,4.686456400742115,290724.4957905081,12.660331092405906,False,False,True,False,False
421,95000,48.0,3.0,223836.16440001718,11.461642696843066,True,False,False,False,False
422,95000,46.0,2.0,223836.16440001718,11.461642696843066,True,False,False,False,False
424,473900,167.0,11.0,259489.83065456574,13.068753718103274,False,False,True,False,False
425,352500,160.0,4.686456400742115,292510.21007622237,12.77280873810987,False,False,True,False,False
430,134000,59.0,3.0,281327.92780003045,11.80560254159177,True,False,False,False,False
431,469000,569.0,4.686456400742115,295680.20052730315,13.058360179622305,False,True,False,False,False
432,119900,43.0,3.0,300235.16967694886,11.694421681264394,True,False,False,False,False
433,215000,48.0,2.0,360608.98318859056,12.278397958261774,True,False,False,False,False
434,259000,24.0,2.0,304325.4640500093,12.464587201678082,True,False,False,False,False
435,177000,102.0,5.0,284153.06721907953,12.083910661257521,True,False,False,False,False
436,148000,83.0,3.0,279596.1096182123,11.904974309480183,False,False,True,False,False
437,195000,135.0,5.0,285010.21007622237,12.180759965737863,False,False,True,False,False
439,481000,132.0,6.0,315918.83689093956,13.083624628087817,False,False,True,False,False
440,235000,69.0,3.0,285313.67006959434,12.367345048436391,True,False,False,False,False
441,65000,50.0,1.0,302464.2914363941,11.082157933374816,False,False,True,False,False
442,385000,130.0,5.0,294057.8291238414,12.861001210669146,False,False,True,False,False
444,269500,100.0,4.0,288557.8291238414,12.504327379899443,False,False,True,False,False
445,419000,218.0,6.0,295676.87674288906,12.945628585536271,False,False,True,False,False
446,214750,79.0,4.0,285950.6862666986,12.277234496413076,False,False,True,False,False
447,80000,700.0,4.686456400742115,279534.0196000319,11.289794413577894,False,False,False,False,True
449,129000,45.0,2.0,268300.1838166946,11.767575435251748,True,False,False,False,False
450,345000,83.0,4.0,287464.2914363941,12.75130259456002,True,False,False,False,False
451,250000,60.0,3.0,287629.25769527,12.429220196836383,True,False,False,False,False
453,65000,380.0,4.686456400742115,259489.83065456574,11.082157933374816,False,False,False,False,True
454,695000,125.0,4.686456400742115,306555.20052730315,13.451668563394815,False,False,True,False,False
455,96380,70.0,4.0,280314.0196000319,11.476064365737095,False,False,True,False,False
456,295000,631.0,4.686456400742115,289772.11483812716,12.59473402514672,False,False,False,False,True
457,199000,275.0,4.686456400742115,270193.12635558035,12.201065128819632,False,True,False,False,False
458,230000,91.0,5.0,286676.87674288906,12.345838935721968,False,False,True,False,False
459,480000,237.0,7.0,280423.63121541037,13.081543466215237,False,False,True,False,False
460,370000,85.0,3.0,293343.5434095557,12.821260987319457,True,False,False,False,False
461,435000,147.0,5.0,296438.7815047938,12.983103608918753,False,False,True,False,False
462,520000,132.0,6.0,285917.2671500279,13.161586013632684,False,False,True,False,False
463,169000,83.0,3.0,275879.7671500279,12.037659911047468,True,False,False,False,False
464,135000,208.0,9.0,273373.382345485,11.813037464800539,False,False,True,False,False
465,150000,56.0,3.0,276302.47736925655,11.918397239722838,True,False,False,False,False
467,312000,52.0,3.0,294846.4338166946,12.650761671914688,True,False,False,False,False
468,207100,48.0,2.0,294846.4338166946,12.240961875957243,True,False,False,False,False
469,182000,60.0,2.0,278055.20052730315,12.111767460549332,True,False,False,False,False
470,147000,67.0,3.0,282724.4957905081,11.898194668458823,False,False,True,False,False
491,77700,61.0,3.0,279424.4957905081,11.260623406285792,False,False,True,False,False
492,261500,186.0,5.0,288176.87674288906,12.474193386571581,False,False,True,False,False
493,128000,76.0,3.0,281819.73388574616,11.759793355371237,False,False,True,False,False
494,260000,134.0,5.0,288105.4481714605,12.468440756144114,False,False,True,False,False
495,330000,93.0,4.0,291438.7815047938,12.706850963741102,False,False,True,False,False
496,990000,91.0,4.0,411694.6446055649,13.805461232211272,True,False,False,False,False
498,585000,117.0,5.0,303581.63864765095,13.279368835614243,False,False,True,False,False
499,135000,44.0,2.0,273827.92780003045,11.813037464800539,True,False,False,False,False
500,152000,110.0,6.0,282962.5910286033,11.931642378754141,False,False,True,False,False
502,233000,113.0,5.0,286819.73388574616,12.358798024384122,False,False,True,False,False
503,1149000,250.0,7.0,349835.4092000291,13.954403427152533,False,False,True,False,False
504,215000,62.0,3.0,285917.2671500279,12.278397958261774,True,False,False,False,False
505,987000,256.0,9.0,322724.4957905081,13.80242633158633,False,False,True,False,False
506,410000,95.0,3.0,295248.30531431764,12.923914877701906,False,False,True,False,False
507,378000,95.0,5.0,310888.5764640268,12.84265212010087,True,False,False,False,False
508,352000,146.0,7.0,283277.92780003045,12.77138929548529,False,False,True,False,False
509,592999,252.0,10.0,305681.28506156424,13.292949677979863,False,False,True,False,False
510,260000,64.0,3.0,288105.4481714605,12.468440756144114,True,False,False,False,False
511,895000,142.0,4.0,318343.5434095557,13.704580114574805,False,False,True,False,False
512,110000,9.0,1.0,411694.6446055649,11.608244735642321,True,False,False,False,False
513,475000,160.0,6.0,298343.5434095557,13.07107218827772,False,False,True,False,False
514,178700,61.0,3.0,254063.63121541037,12.093469297102763,True,False,False,False,False
515,239500,151.0,6.0,287129.25769527,12.386312871189734,False,False,True,False,False
